"Key","bn","en","es","hi","id","ptg","tl","ur","vi","zh"
"HomePage_qp","দাবা এবং কার্ড","Chess and cards","Ajedrez y cartas","शतरंज और ताश","Catur dan kartu","Chess e cartões","Chess and Cards","شطرنج اور تاش","Cờ bạc và bài","棋牌"
"HomePage_by","মাছ ধরা","fishing","pesca","फिशिंग","memancing","pesca","Pangingisda","ماہی گیری","câu cá","捕鱼"
"HomePage_dz","ইলেকট্রনিক্স","Electronics","Electrónica","इलेक्ट्रानिक्स","Elektronik","Eletrônica","Larong Elektroniko","الیکٹرانکس","Điện tử","电子"
"HomePage_zr","প্রকৃত মানুষ","Real people","Persona real","असली लोग","Orang sungguhan","Pessoas reais","Tunay na Tao","حقیقی لوگ","Người thật","真人"
"HomePage_ty","খেলাধুলা","Sports","Deportes","स्पोर्ट्स","Olahraga","Esportes","Sports","کھیل","Thể thao","体育"
"HomePage_cp","লটারি","lottery","lotería","लॉटरी","lotere","loteria","Lottery","لاٹری","xổ số","彩票"
"HomePage_rm","গরম","Hot","Popular","गर्म","Panas","Quente","Hot","گرم","Hấp dẫn","热门"
"HomePage_ksyx","শুরু","START","COMIENZO","शुरू","MULAI","START","MAGSIMULA","شروع کریں","BẮT ĐẦU","开始游戏"
"sign_qdshl","দুর্দান্ত পুরস্কার পেতে চেক-ইন করুন","Check-in to get great rewards","Regístrate para obtener grandes recompensas","बेहतरीन पुरस्कार पाने के लिए चेक-इन करें","Check-in untuk dapat reward besar","Check-in para obter grandes recompensas","Mag-sign in upang makakuha ng magagandang Rewards","زبردست انعامات حاصل کرنے کے لیے چیک ان کریں۔","Đăng nhập để nhận các phần thưởng lớn","签到送豪礼"
"sign_tips","প্রিয় ভিআইপি প্লেয়াররা: যতক্ষণ না আপনি দৈনিক ক্রিয়াকলাপের প্রয়োজনীয়তাগুলি পূরণ করেন, আপনি প্রতিদিনের চেক-ইন কার্যকলাপে অংশগ্রহণ করতে পারেন। একটানা চেক-ইন দিন যত বেশি, তত বেশি বোনাস আপনি পেতে পারেন!","Dear VIP players: As long as you meet the requirements of the daily activity, you could participate in the daily check-in activity. The longer the consecutive check-in days, the more bonus you could receive!","Estimados jugadores VIP: Mientras cumplan con los requisitos de la actividad diaria, pueden participar en la actividad de registro diario. ¡Cuantos más días consecutivos registres, más bonificaciones podrás recibir!","प्रिय वीआईपी खिलाड़ी: जब तक आप दैनिक गतिविधि की आवश्यकताओं को पूरा करते हैं, आप दैनिक चेक-इन गतिविधि में भाग ले सकते हैं। लगातार चेक-इन के दिन जितने लंबे होंगे, आपको उतना अधिक बोनस प्राप्त हो सकता है!","Yth. Pemain VIP: Selama Anda memenuhi persyaratan aktivitas harian, Anda dapat berpartisipasi dalam aktivitas check-in harian. Semakin lama hari check-in berturut-turut, semakin banyak bonus yang bisa Anda terima!","Caros jogadores VIP: Enquanto você atender aos requisitos da atividade diária, você pode participar da atividade diária de check-in. Quanto mais tempo os dias de check-in consecutivos, mais bônus você poderia receber!","Sa aming minamahal na VIP players: Hangga't natutugunan mo ang mga requirements ng pang-araw-araw na aktibidad, maaari kang lumahok sa pang-araw-araw na check-in activity. Habang mas matagal ang sunod-sunod na mga araw ng pag-check-in, mas maraming bonus ang iyong matatanggap!","پیارے VIP کھلاڑی: جب تک آپ روزانہ کی سرگرمی کی ضروریات کو پورا کرتے ہیں، آپ روزانہ چیک ان سرگرمی میں حصہ لے سکتے ہیں۔ لگاتار چیک ان کے دن جتنے لمبے ہوں گے، اتنا ہی زیادہ بونس آپ کو مل سکتا ہے!","Kính gửi người chơi VIP: Chỉ cần đáp ứng các yêu cầu của hoạt động hàng ngày, bạn có thể tham gia hoạt động điểm danh hàng ngày. Số ngày điểm danh liên tiếp càng dài, bạn càng có thể nhận được nhiều tiền thưởng!","尊敬的贵宾：只要每天达到活动条件就可以参与每日签到活动，连续签到天数越久，可领取的彩金越多噢！"
"sign_xj","নগদ","cash","efectivo","नकद","tunai","dinheiro","cash","نقد","tiền mặt","现金"
"loginBox_hydl","লগইন/রেজিস্টার করুন","Login / Register","Iniciar sesión / Registrarse","लॉगइन/रजिस्टर करें","Login/Daftar","Entrar / Registo","Mag-Log In / Magrehistro","لاگ ان/رجسٹر","Đăng nhập / Đăng ký","登录/注册"
"loginBox_ljzc","এখন নিবন্ধন করুন","Register now","Regístrate ahora","अभी रजिस्टर करें","Daftar sekarang","Registro agora","Magrehistro Ngayon","ابھی رجسٹر کریں۔","Đăng ký ngay","立即注册"
"registBox_hyzc","নিবন্ধন স্বাগতম","Welcome to register","Bienvenido a registrarte","रजिस्टर करने के लिए आपका स्वागत है","Selamat datang di pendaftaran","Bem-vindo ao registro","Maligayang Pagrehistro","رجسٹر کرنے میں خوش آمدید","Chào mừng bạn đến phần đăng ký","欢迎注册"
"registBox_yy","ভাষা:","Language:","Idioma:","भाषा:","Bahasa:","Língua:","Wika:","زبان:","Ngôn ngữ:","语言："
"registBox_bz","মুদ্রা","Currency","Moneda","मुद्रा","Mata uang","Moeda","Pera","کرنسی","Tiền tệ","币种"
"registBox_qxzczbz","ডিপোজিট কারেন্সি বেছে নিন","Choose deposit currency","Selecciona la moneda de depósito","जमा मुद्रा चुनें","Pilih mata uang deposit","Escolha a moeda de depósito","Piliin ang Uri ng Deposit Currency","ڈپازٹ کرنسی کا انتخاب کریں۔","Chọn tiền tệ gửi tiền","请选择充值币种"
"registBox_gjdq","দেশ / অঞ্চল","country / region","país / región","देश/क्षेत्र","negara/wilayah","país / região","Bansa / Rehiyon","ملک / علاقہ","quốc gia / khu vực","国家/地区"
"registBox_bkygg","রেজিস্ট্রেশনের পর পরিবর্তন করা যাবে না","Cannot be changed after registration","No se puede cambiar después del registro","पंजीकरण के बाद बदला नहीं जा सकता","Tidak dapat diubah setelah pendaftaran","Não pode ser alterado após o registro","Hindi na mababago pagkatapos ng rehistrasyon","رجسٹریشن کے بعد تبدیل نہیں کیا جا سکتا","Không thể được thay đổi sau khi đăng ký","注册后您的币种将不可以更改！"
"registBox_bzsm","মুদ্রা সম্পর্কে","About currency","Acerca de la moneda","मुद्रा के बारे में","Tentang mata uang","Sobre a moeda","Tungkol sa Pera","کرنسی کے بارے میں","Về tiền tệ","币种说明"
"registBox_tips1"," 1. আপনি যখন এমন একটি গেমে প্রবেশ করেন যা নির্বাচিত মুদ্রা সমর্থন করে না, তখন বিনিময় হার রূপান্তরের পরে প্রকৃত পরিমাণে খেলাটিতে অর্থ জমা করা হবে;"," 1. When you enter a game that does not support the selected currency, the amount would be deposit into the game at the actual amount after the exchange rate conversion;","1. Cuando entres a un juego que no sea compatible con la moneda seleccionada, el monto se depositará en el juego según el monto real después de la conversión de la tasa de cambio;"," 1. जब आप किसी ऐसे गेम में प्रवेश करते हैं जो चयनित मुद्रा का समर्थन नहीं करता है, तो राशि विनिमय दर रूपांतरण के बाद वास्तविक राशि पर गेम में जमा की जाएगी;"," 1. Bila Anda memasuki permainan yang tidak mendukung mata uang yang dipilih, jumlah tersebut akan disetorkan ke dalam permainan dengan jumlah sebenarnya setelah konversi nilai tukar;","1. Quando você entra em um jogo que não suporta a moeda selecionada, o valor seria depositado no jogo no valor real após a conversão da taxa de câmbio;","1. Kapag pumasok ka sa isang laro na hindi sumusuporta sa napiling pera, ang halaga ay ide-deposito sa laro sa aktwal na halaga pagkatapos ng Conversion ng palitan;","1. جب آپ کسی ایسی گیم میں داخل ہوتے ہیں جو منتخب کرنسی کو سپورٹ نہیں کرتی ہے، تو رقم ایکسچینج ریٹ کی تبدیلی کے بعد اصل رقم پر گیم میں جمع ہو جائے گی۔"," 1. Khi bạn vào một trò chơi không hỗ trợ loại tiền tệ đã chọn, số tiền sẽ được gửi vào trò chơi theo số tiền thực tế sau khi chuyển đổi tỷ giá hối đoái;","1、当您进入不支持所选币种的游戏时，金额会以汇率转换后的实际金额带入游戏；"
"registBox_tips2","2. আমানত/প্রত্যাহার পদ্ধতি শুধুমাত্র আপনার নির্বাচিত মুদ্রা বা অন্যান্য অর্থপ্রদান পদ্ধতির ব্যাঙ্ক তথ্য সমর্থন করবে;","2. The method of deposit/withdrawal would only support the bank information of your selected currency or other payment methods;","2. El método de depósito/retiro solo admitirá la información bancaria de tu moneda seleccionada u otros métodos de pago;","2. जमा/निकासी की विधि केवल आपकी चयनित मुद्रा या अन्य भुगतान विधियों की बैंक जानकारी का समर्थन करेगी;","2. Metode penyetoran/penarikan hanya akan mendukung informasi bank mata uang yang Anda pilih atau metode pembayaran lainnya;","2. O método de depósito/retirada só suportaria as informações bancárias da sua moeda selecionada ou outros métodos de pagamento;","2. Ang paraan ng pag-deposito/pag-withdraw ay susuporta lamang sa impormasyon ng bangko ng napili mong pera o iba pang paraan ng pagbabayad;","2. جمع کرنے/نکالنے کا طریقہ صرف آپ کی منتخب کرنسی یا ادائیگی کے دیگر طریقوں کی بینک کی معلومات کی حمایت کرے گا۔","2. Phương thức gửi/rút tiền chỉ hỗ trợ thông tin ngân hàng của tiền tệ bạn đã chọn hoặc các phương thức thanh toán khác;","2、存款/提现方式将仅支持您所选币种的银行信息或其他支付方式实现；"
"registBox_qzy","অনুগ্রহ করে মনে রাখবেন: ব্যবহারকারী নিবন্ধনের পরে আপনার মুদ্রা পরিবর্তন করা যাবে না!","Please note: Your currency cannot be changed after user registration!","¡Por favor, ten en cuenta! ¡Tu moneda no puede ser cambiada después del registro de usuario!","कृपया ध्यान दें: उपयोगकर्ता पंजीकरण के बाद आपकी मुद्रा नहीं बदली जा सकती!","Harap diperhatikan: Mata uang Anda tidak dapat diubah setelah pendaftaran pengguna!","Por favor, note: Sua moeda não pode ser alterada após o registro do usuário!","Tandaan: Ang iyong pera ay hindi na mababago pagkatapos ng rehistrasyon ng user!","براہ کرم نوٹ کریں: صارف کے اندراج کے بعد آپ کی کرنسی کو تبدیل نہیں کیا جا سکتا!","Vui lòng lưu ý: Tiền tệ của bạn không thể được thay đổi sau khi đăng ký người dùng!","请注意：用户注册后您的币种不可以更改！"
"registBox_yyzh","ইতিমধ্যে একটি অ্যাকাউন্ট আছে?","Already have an account?","¿Ya tienes una cuenta?","क्या आपके पास पहले से एक खाता मौजूद है?","Sudah punya akun?","Já tem uma conta?","Mayroon nang Account??","پہلے سے ہی اکاؤنٹ ہے؟","Đã có một tài khoản?","已有账号？"
"registBox_yqm","আমন্ত্রণ কোড","Invite code","Código de invitación","कोड आमंत्रित","Kode undangan","Convidar código","Mag-invite ng Code","کوڈ کو مدعو کریں۔","Mã mời","邀请码"
"registBox_yqmxt","আমন্ত্রণ কোড (ঐচ্ছিক)","Invite code(Optional)","Código de invitación (Opcional)","आमंत्रण कोड(वैकल्पिक)","Kode undangan (Opsional)","Convidar código (opcional)","Mag-invite ng Code(Optional)","دعوتی کوڈ (اختیاری)","Mã mời(Tùy chọn)","邀请码（选填）"
"registBox_qsryqm","আপনার আমন্ত্রণ কোড লিখুন.","Please enter your invitation code.","Por favor ingresa tu código de invitación.","कृपया अपना निमंत्रण कोड दर्ज करें.","Silakan masukkan kode undangan Anda.","Digite seu código de convite.","I-enter ang Invitation Code.","براہ کرم اپنا دعوتی کوڈ درج کریں۔","Vui lòng nhập mã mời của bạn.","请输入邀请码"
"registBox_qdl","লগইন করুন","Login","Iniciar sesión","लॉग इन करें","Login","Entrar","Mag-log in","لاگ ان","Đăng nhập","去登录"
"activityDetails_qx","বাতিল","cancel","Cancelar","रद्द करे","batalkan","cancelar","Kanselahin","منسوخ کریں","hủy","取消"
"gemaView_hlts","বিনিময় হার টিপস","Exchange rate tips","Consejos sobre la tasa de cambio","विनिमय दर युक्तियाँ","Tips nilai tukar","Dicas de taxa de câmbio","Mga Tip sa Palitan ng Pera","شرح تبادلہ کی تجاویز","Mẹo về tỷ giá hối đoái","汇率提示"
"gemaView_ndqzzjr","আপনি বর্তমানে প্রবেশ করছেন","You are currently entering","Actualmente estás ingresando","आप वर्तमान में प्रवेश कर रहे हैं","Anda saat ini sedang masuk","Você está entrando","Kasalukuyan kang Pumapasok","آپ فی الحال داخل ہو رہے ہیں۔","Bạn hiện đang tham gia","您当前正在进入"
"gemaView_qzyjtyx","খেলায় আনা পরিমাণ হল বিনিময় হার রূপান্তরের পরের পরিমাণ","The amount brought into the game is the amount after the exchange rate conversion","El monto ingresado al juego es el monto después de la conversión de la tasa de cambio","खेल में लाई गई राशि विनिमय दर रूपांतरण के बाद की राशि है","Jumlah yang dibawa ke dalam permainan adalah jumlah setelah konversi nilai tukar","A quantidade trazida para o jogo é a quantidade após a conversão da taxa de câmbio","Ang pera na nasa laro ay ang halaga pagkatapos ng Conversion ng Exchange Rate","گیم میں لائی گئی رقم ایکسچینج ریٹ کی تبدیلی کے بعد کی رقم ہے۔","Số tiền được đưa vào trò chơi là số tiền sau khi quy đổi tỷ giá hối đoái","请注意进入游戏的金额是汇率转换后的金额"
"gemaView_zhhl","বিনিময় হার","Exchange rate","Tasa de cambio","विनिमय दर","Nilai tukar","Taxa de câmbio","Exchange Rate","شرح تبادلہ","Tỷ giá hối đoái","转换汇率"
"gemaView_zhhdr","খেলায় পরিমাণ","Amount in the game","Monto en el juego","खेल में राशि","Jumlah dalam permainan","Montante no jogo","Pera sa Laro","کھیل میں رقم","Số tiền trong trò chơi","进入游戏的金额"
"gemaView_zndrzsje","খেলার মধ্যে শুধুমাত্র পূর্ণসংখ্যা","Only integers into the game","Solo se permiten números enteros para ingresar al juego","खेल में केवल पूर्णांक","Hanya bilangan bulat yang masuk ke permainan","Apenas inteiros no jogo","Tanging Buong Numero ang tinatanggap sa Laro","کھیل میں صرف انٹیجرز","Chỉ số nguyên vào trò chơi","请注意只能带入整数金额进入游戏"
"gemaView_yxqzy","খেলা
দয়া করে মনে রাখবেন যে গেমটি RMB বিনিময় হারে প্রদর্শিত হয়,","game
Please note that the game is displayed in RMB exchange rate,","juego
Tenga en cuenta que el juego se muestra en la tasa de cambio del RMB.","खेल
कृपया ध्यान दें कि गेम आरएमबी विनिमय दर में प्रदर्शित होता है,","permainan
Harap dicatat bahwa permainan ditampilkan dalam nilai tukar RMB,","jogo Por favor, note que o jogo é exibido na taxa de câmbio RMB,","Paalala: Ang laro ay ipinapakita sa RMB Exchange Rate","کھیل
براہ کرم نوٹ کریں کہ گیم RMB ایکسچینج ریٹ میں ظاہر ہوتا ہے،","game
Vui lòng lưu ý rằng trò chơi được hiển thị theo tỷ giá RMB,","请注意该游戏是以人民币汇率显示的额度，"
"gemaView_qd","ঠিক আছে","ok","OK","ठीक है","oke","está bem","OK","ٹھیک ہے","ok","确定"
"gemaView_qx","বাতিল করুন","Cancel","Cancelar","रद्द करे","Batalkan","Cancelar","Kanselahin","منسوخ کریں۔","Hủy","取消"
"gemaView_ts","মনে করিয়ে দিন","Remind","Recordar","याद दिलाना","Mengingatkan","lembre-se","Paalala","یاد دلانا","Nhắc nhở","提示"
"gemaView_zhhhlw","
বিনিময় হার রূপান্তর পরে RMB হয়","
The RMB after exchange rate conversion is","La tasa de cambio del RMB es","
विनिमय दर रूपांतरण के बाद आरएमबी है","
RMB setelah konversi nilai tukar adalah","Não. O RMB após a conversão da taxa de câmbio é","Ang RMB pagkatapos ng Conversion ng Exchange Rate ay","
شرح تبادلہ کی تبدیلی کے بعد RMB ہے۔","
RMB sau khi chuyển đổi tỷ giá hối đoái là","汇率转换后的人民币为"
"gemaView_wzdl","আমি জানি","I know","Lo sé","मुझे पता है","Saya tahu","Eu sei","Naiintindihan Ko","میں جانتا ہوں","Tôi biết","我知道了"
"gemaView_yxb","মুদ্রা","coins","monedas","सिक्के","koin","moedas","Barya","سکے","đồng xu","游戏币"
"fortuneList_klqyj","কমিশন প্রদেয়","Commission payable","Comisión pendiente","कमीशन देय","Komisi yang harus dibayarkan","Pagamento da Comissão","Commission Payable","قابل ادائیگی کمیشن","Hoa hồng phải trả","可领取佣金"
"mypromotion_zrzswj","গতকাল সরাসরি খেলোয়াড়রা","Yesterday direct players","Jugadores directos de ayer","कल प्रत्यक्ष खिलाड़ी","Pemain langsung kemarin","Ontem jogadores directos","Direktang Manlalaro Kahapon","کل براہ راست کھلاڑی","Người chơi trực tiếp hôm qua","昨日直属玩家"
"mypromotion_zrs","সমস্ত ব্যবহারকারী","All users","Todos los usuarios","सभी उपयोगकर्ता","Semua pengguna","Todos os utilizadores","Lahat ng Users","تمام صارفین","Tất cả người dùng","总人数"
"mypromotion_xzrs","নতুন ব্যবহারকারী","New users","Nuevos usuarios","नये उपयोगकर्ता","Pengguna baru","Novos usuários","Bagongs Users","نئے صارفین","Người dùng mới","新增人数"
"mypromotion_zrqtxxwj","গতকাল দলের খেলোয়াড়রা","Yesterday team players","Jugadores del equipo de ayer","कल टीम के खिलाड़ी","Pemain tim kemarin","Jogadores de equipa de ontem","Manlalaro ng Koponan Kahapon","کل ٹیم کے کھلاڑی","Người chơi nhóm hôm qua","昨日团队玩家"
"shareTutorial_lqfxyj","শেয়ারিং কমিশন পান","Receive sharing Commission","Recibir comisión de compartición","शेयरिंग कमीशन प्राप्त करें","Terima Komisi Bersama","Receber participação da Comissão","Kumita sa Sharing Commission","شیئرنگ کمیشن وصول کریں۔","Nhận hoa hồng chia sẻ","领取分享佣金"
"shareTutorial_xxds","যোগাযোগ শিক্ষক","Contact tutor","Contactar al tutor","ट्यूटर से संपर्क करें","Hubungi tutor","Tutor de contato","Makipag-ugnayan sa Tutor","ٹیوٹر سے رابطہ کریں۔","Liên hệ gia sư","联系导师"
"shareTutorial_rhzdl","এজেন্ট হিসাবে কাজ কিভাবে","How to act as agent","Cómo actuar como agente","एजेंट के रूप में कैसे कार्य करें","Cara bertindak sebagai agen","Como agir como agente","Paano maging Ahente","ایجنٹ کے طور پر کام کرنے کا طریقہ","Cách làm đại lý","如何做代理"
"shareTutorial_yqhy","বন্ধুদের আমন্ত্রণ জানান","Invite friends","Invitar amigos","मित्रों को आमंत्रित करें","Undang teman","Convidar amigos","I-invite ang mga Kaibigan","دوستوں کو مدعو کریں۔","Mời bạn bè","邀请好友"
"shareTutorial_hytz","বন্ধুরা বাজি ধরে","Friends bet","Apostar amigos","दोस्तों शर्त लगाई","Teman bertaruh","Aposta de amigos","Taya ng mga Kaibigan","دوست شرط لگاتے ہیں۔","Khoản cược bạn bè","好友投注"
"shareTutorial_lqyj","কমিশন পান","Receive commission","Recibir comisión","कमीशन प्राप्त करें","Menerima komisi","Receber comissão","Kumita ng Komisyon","کمیشن وصول کریں۔","Nhận hoa hồng","领取佣金"
"shareTutorial_dltgjc","এজেন্ট প্রচার কোর্স","Agent promotion course","Curso de promoción de agentes","एजेंट प्रमोशन कोर्स","Kursus promosi agen","Curso de promoção de agentes","Kurso sa Promosyon ng Ahente","ایجنٹ پروموشن کورس","Khóa học quảng bá đại lý","代理推广教程"
"shareTutorial_ckfxzq","ভাগাভাগি এবং অর্থ উপার্জনের আমন্ত্রণ টাস্ক টেমপ্লেট পড়ুন, এবং প্রতিদিন বন্ধুদের একটি চেনাশোনা পাঠাতে জোর দিন","Refer to the invitation task template of sharing and making money, and insist on sending a circle of friends every day","Consultar la plantilla de tarea de invitación de compartir y ganar dinero, y persistir en enviar a los círculos de amigos todos los días","साझा करने और पैसा कमाने के निमंत्रण कार्य टेम्पलेट का संदर्भ लें, और हर दिन मित्रों का एक समूह भेजने पर जोर दें","Lihat templat tugas undangan berbagi dan menghasilkan uang, dan hanya kirim ke lingkaran teman setiap hari","Consulte o modelo de tarefa de convite de compartilhar e ganhar dinheiro, e insistir em enviar um círculo de amigos todos os dias","Mag-refer sa Invitation Task Template of Sharing at kumita, at mag-send araw-araw sa iyong mga kaibigan","اشتراک کرنے اور پیسہ کمانے کے دعوتی ٹاسک ٹیمپلیٹ کا حوالہ دیں، اور ہر روز دوستوں کا حلقہ بھیجنے پر اصرار کریں","Tham khảo mẫu nhiệm vụ mời chia sẻ kiếm tiền, và mỗi ngày cứ liên tục gửi cho nhóm bạn","参考分享赚钱的邀请任务模板，每日坚持发朋友圈"
"shareTutorial_tgjrtt","আজকের শিরোনাম, কাঁপানো টোন, মাইক্রো ব্লগ এবং প্রচারের জন্য অন্যান্য মন্তব্যের মাধ্যমে যোগাযোগের তথ্য সংযুক্ত করা হয়েছে","Through today's headlines, shaking tone, micro blog and other comments to promote, with contact information attached","Promocionar a través de los titulares de hoy, tonos de sacudida, microblog y otros comentarios, con información de contacto adjunta","आज की सुर्खियों, हिलते स्वर, माइक्रो ब्लॉग और प्रचार के लिए अन्य टिप्पणियों के माध्यम से, संपर्क जानकारी संलग्न के साथ","Melalui berita utama hari ini, nada yang bergetar, blog mikro dan komentar lainnya untuk mempromosikan, dengan informasi kontak terlampir","Através de manchetes de hoje, tom tremendo, micro blog e outros comentários para promover, com informações de contato anexadas","Gamitin ang mga komento sa Headlines ngayon, Douyin, Weibo, at iba pang mga platform para mag-promote, kasama ang Contact Information","آج کی شہ سرخیوں کے ذریعے، ہلاتے ہوئے لہجے، مائیکرو بلاگ اور فروغ دینے کے لیے دیگر تبصرے، رابطے کی معلومات کے ساتھ","Thông qua các tiêu đề ngày hôm nay, giọng điệu rung chuyển, blog thu nhỏ và các bình luận khác để quảng bá, kèm theo thông tin liên hệ","通过今日头条、抖音、微博等评论来推广，头像附带联系方式"
"shareTutorial_gdltpltg","প্রতিটি বড় ফোরাম প্রচার মন্তব্য, নিজস্ব QR কোড বা প্রচার লিঙ্ক আপলোড","Each big forum comments promotion, uploads own QR code or promotion link","Promoción mediante comentarios en foros grandes, subiendo el propio código QR o enlace de promoción","प्रत्येक बड़ा मंच प्रचार पर टिप्पणी करता है, अपना क्यूआर कोड या प्रचार लिंक अपलोड करता है","Setiap promosi komentar forum besar, mengunggah kode QR atau tautan promosi sendiri","Cada grande fórum comentários promoção, uploads próprio código QR ou link promoção","Mag-promote sa mga pangunahing forum gamit ang mga komento, mag-upload ng sariling QR Code o Link ng Promosyon","ہر بڑا فورم پروموشن پر تبصرہ کرتا ہے، اپنا QR کوڈ یا پروموشن لنک اپ لوڈ کرتا ہے۔","Mỗi một diễn đàn lớn đều có bình luận về quảng bá, tải lên mã QR hoặc đường dẫn quảng bá của riêng mình","各大论坛评论推广，上传自己的二维码或者推广链接"
"shareTutorial_jlwxq","ওয়েচ্যাট গ্রুপ, মাইক্রো ব্লগ ফ্যান সেট আপ করুন এবং তাদের ভক্তদের প্রচার তথ্য পাঠান","Set up wechat groups, micro blog fans, and send promotion information to their fans","Configurar grupos de WeChat, seguidores de microblog, y enviar información de promoción a sus seguidores","वीचैट समूह, माइक्रो ब्लॉग प्रशंसक स्थापित करें और उनके प्रशंसकों को प्रचार जानकारी भेजें","Membuat grup wechat, penggemar blog mikro, dan mengirimkan informasi promosi kepada penggemar mereka","Configure grupos de wechat, fãs de micro blog e envie informações de promoção para seus fãs","Mag-set up ng mga WeChat groups, Weibo fans, at ipadala ang impormasyon ng promosyon sa kanilang mga fans","وی چیٹ گروپس، مائیکرو بلاگ کے پرستار قائم کریں، اور ان کے مداحوں کو پروموشن کی معلومات بھیجیں۔","Thiết lập các nhóm wechat, người hâm mộ blog thu nhỏ, và gửi thông tin quảng bá đến người hâm mộ của họ","建立微信群、微博涨粉，发推广信息给自己的粉丝"
"shareTutorial_lxkfsqtg","প্রচার কার্ড, পেস্ট এবং বিতরণের জন্য আবেদন করতে গ্রাহক পরিষেবার সাথে যোগাযোগ করুন","Contact customer service to apply for promotion card, paste and distribute","Contactar al servicio de atención al cliente para solicitar tarjeta de promoción, pegar y distribuir","प्रमोशन कार्ड के लिए आवेदन करने, चिपकाने और वितरित करने के लिए ग्राहक सेवा से संपर्क करें","Hubungi layanan pelanggan untuk mengajukan kartu promosi, tempel dan distribusikan","Contacte o serviço ao cliente para solicitar cartão de promoção, colar e distribuir","Makipag-ugnayan sa Customer Service para mag-apply ng Promo Card, i-paste at i-distribute","پروموشن کارڈ کے لیے درخواست دینے، پیسٹ کرنے اور تقسیم کرنے کے لیے کسٹمر سروس سے رابطہ کریں۔","Liên hệ dịch vụ khách hàng để đăng ký thẻ quảng bá, dán và phân phối","联系客服申请推广小卡片，粘贴分发"
"shareTutorial_fzzjdxj","রাজস্ব বাড়াতে এজেন্ট হিসাবে কাজ করার জন্য তাদের নিজস্ব অধস্তনদের বিকাশ করুন","Develop their own subordinates to act as agents to increase revenue","Desarrollar a sus propios subordinados para actuar como agentes y aumentar ingresos","राजस्व बढ़ाने के लिए एजेंटों के रूप में कार्य करने के लिए अपने स्वयं के अधीनस्थों को विकसित करें","Mengembangkan bawahan mereka sendiri untuk bertindak sebagai agen untuk meningkatkan pendapatan","Desenvolver seus próprios subordinados para atuar como agentes para aumentar a receita","Mag-recruit ng sariling mga sub-agents upang mapataas ang kita","آمدنی بڑھانے کے لیے ایجنٹ کے طور پر کام کرنے کے لیے اپنے ماتحتوں کو تیار کریں۔","Phát triển cấp dưới của riêng họ để làm đại lý để tăng doanh thu","发展自己的下级做代理，增加收益"
"UserPage_aqdj","নিরাপত্তা স্তর","Security level","Nivel de seguridad","सुरक्षा स्तर","Tingkat keamanan","Nível de segurança","Security Level","سیکورٹی کی سطح","Mức độ bảo mật","安全等级"
"UserPage_g","উচ্চ","high","alto","उच्च","tinggi","alta","Mataas","اعلی","cao","高"
"UserPage_z","মাঝারি","medium","medio","मध्यम","sedang","meio ambiente","Katamtaman","درمیانہ","trung bình","中"
"UserPage_d","কম","low","bajo","कम","rendah","baixo","Mababa","کم","thấp","低"
"UserPage_tx","প্রত্যাহার করুন","Withdraw","Retirar","निकालना","Tarik","Retirar","Mag-withdraw","واپس لینا","Rút","提现"
"UserPage_jyjl","লেনদেনের ইতিহাস","Transaction History","Historial de transacciones","ट्रांजेक्शन इतिहास","Riwayat Transaksi","Histórico de Transações","Transaction History","لین دین کی تاریخ","Lịch sử Giao dịch","交易记录"
"UserPage_hyn","স্বাগতম","Welcome","Bienvenido","स्वागत","Selamat datang","Bem-vindo","Welcome","خوش آمدید","Chào mừng","欢迎您"
"BindBankDialog_bz","মুদ্রা:","Currency:","Moneda:","मुद्रा:","Mata uang:","Moeda:","Pera:","کرنسی:","Tiền tệ:","币种："
"BalanceRecordDetail_zt","অবস্থা","status","estado","स्थिति","status","status","Estado","حیثیت","trạng thái","状态"
"BalanceRecordDetail_czsj","রিচার্জ সময়","Recharge time","Hora de recarga","रिचार्ज का समय","Waktu isi ulang","Tempo de recarga","Oras ng Recharge","ریچارج کا وقت","Thời gian tái nạp","充值时间"
"BalanceRecordDetail_bz","মন্তব্য","Remarks","Observaciones","टिप्पणी","Catatan","Observações","Remarks","ریمارکس","Ghi chú","备注"
"DrawPop_qd","নির্ধারণ","determine","determinar","ठानना","menentukan","determinar","Kumpirmahin","تعین","xác định","确定"
"DrawPop_cxsr","পুনরায় ইনপুট","Re input","Reingresar","पुन: इनपुट","Re-input","Reprodução","Muling ilagay","دوبارہ ان پٹ","Nhập lại","重新输入"
"DrawPop_qsrtxmm","6-সংখ্যার প্রত্যাহার পাসওয়ার্ড লিখুন","Enter 6-digit withdrawal password","Ingresar la contraseña de retiro de 6 dígitos","6 अंकों का निकासी पासवर्ड दर्ज करें","Masukkan kata sandi penarikan 6 digit","Digite a senha de retirada de 6 dígitos","Ilagay ang 6-digit na password para sa Withdrawal","6 ہندسوں کی واپسی کا پاس ورڈ درج کریں۔","Nhập mật khẩu rút tiền gồm 6 chữ số","请输入6位数提现密码"
"BalanceRecords_xq","বিস্তারিত","details","detalles","विवरण","detail","detalhes","Detalye","تفصیلات","chi tiết","详情"
"rechargeRecordDetail_xq","বিস্তারিত","details","detalles","विवरण","detail","detalhes","Detalye","تفصیلات","chi tiết","详情"
"rechargeRecordDetail_zt","রাষ্ট্র","state","estado","राज्य","negara","estado","State","ریاست","tình trạng","状态"
