"Key","en.json","id.json","ptg.json","tl.json","vi.json","zh.json"
"wall_done_tip_2","If there is no response for a long time, Please Contact us.","Jika tidak ada respon untuk waktu yang lama, Silahkan Hubungi kami.","If there is no response for a long time, Please Contact us.","Kung walang tugon sa loob ng mahabang panahon, Mangyaring Makipag-ugnayan sa amin.","Nếu không có phản hồi trong một thời gian dài, vui lòng liên hệ với chúng tôi.","如果长时间没有回复，请联系我们。"
"user_redemption","Redemption Code","Kode Penebusan","Redemption Code","Redemption Code","Mã đổi quà","兑换码"
"user_redemption_e_t","Please enter the correct redemption code","Silakan masukkan kode penukaran yang benar","Please enter the correct redemption code","Pakilagay ang tamang redemption code","Vui lòng nhập đúng mã đổi thưởng","请输入正确的兑换码"
"user_redemption_s_d","Turnover requirements","Persyaratan omset","Turnover requirements","Mga kinakailangan sa turnover","Yêu cầu về doanh thu","流水要求"
"user_redemption_bn","Bet Now","Bertaruh Sekarang","Bet Now","Tumaya Ngayon","Đặt cược ngay","立即投注"
"completed","Completed","Completed","Completed","Completed","Completed","Completed"
"bank-charged","Bank Charged","Bank Charged","Bank Charged","Bank Charged","Bank Charged","Bank Charged"
"securityCenter_setPasswordPlaceholder","6-20 characters (English & Numbers)","6-20 characters (English & Numbers)","6-20 characters (English & Numbers)","6-20 characters (English & Numbers)","6-20 characters (English & Numbers)","6-20 characters (English & Numbers)"
"securityCenter_withdrawalPasswordPlaceholder","6 Numbers","6 Numbers","6 Numbers","6 Numbers","6 Numbers","6 Numbers"
"user_highestVipLevel","reached the highest level","reached the highest level","reached the highest level","reached the highest level","reached the highest level","reached the highest level"
"user_congratulations","congratulations！","congratulations！","congratulations！","congratulations！","congratulations！","congratulations！"
"invite_commission_date","Date","Date","Date","Date","Date","Date"
"invite_history_validBet","Valid bets (daily settlement)","Valid bets (daily settlement)","Valid bets (daily settlement)","Valid bets (daily settlement)","Valid bets (daily settlement)","Valid bets (daily settlement)"
"invite_history_transferToWallet","Transfer to main wallet","Transfer to main wallet","Transfer to main wallet","Transfer to main wallet","Transfer to main wallet","Transfer to main wallet"
"invite_history_receivedSuccessfully","Received Successfully","Received Successfully","Received Successfully","Received Successfully","Received Successfully","Received Successfully"
"securityCenter_oldPassword","Old Password","Old Password","Old Password","Old Password","Old Password","Old Password"
"vipDetails_upgradeBonus","Upgrade Bonus","Upgrade Bonus","Upgrade Bonus","Upgrade Bonus","Upgrade Bonus","Upgrade Bonus"
"vipDetails_weeklyBonus","Weekly Bonus","Weekly Bonus","Weekly Bonus","Weekly Bonus","Weekly Bonus","Weekly Bonus"
"vipDetails_monthlyBonus","Monthly Bonus","Monthly Bonus","Monthly Bonus","Monthly Bonus","Monthly Bonus","Monthly Bonus"
"vipDetails_rebateBonus","Rebate Bonus","Rebate Bonus","Rebate Bonus","Rebate Bonus","Rebate Bonus","Rebate Bonus"
"vipDetails_vipBenefits","VIP Benefits","VIP Benefits","VIP Benefits","VIP Benefits","VIP Benefits","VIP Benefits"
"vipDetails_vipRules","VIP Rules","VIP Rules","VIP Rules","VIP Rules","VIP Rules","VIP Rules"
"rebate_detailsOfCheating","Details of Cheating","Details of Cheating","Details of Cheating","Details of Cheating","Details of Cheating","Details of Cheating"
"rebate_rebate","Rebate","Rebate","Rebate","Rebate","Rebate","Rebate"
"rebate_rebateRecord","Rebate Record","Rebate Record","Rebate Record","Rebate Record","Rebate Record","Rebate Record"
"rebate_rebateRate","Rebate Rate","Rebate Rate","Rebate Rate","Rebate Rate","Rebate Rate","Rebate Rate"
"rebate_gameProvider","Game Provider","Game Provider","Game Provider","Game Provider","Game Provider","Game Provider"
"rebate_validBet","Valid Bet","Valid Bet","Valid Bet","Valid Bet","Valid Bet","Valid Bet"
"rebate_rebateBonus","Rebate Bonus","Rebate Bonus","Rebate Bonus","Rebate Bonus","Rebate Bonus","Rebate Bonus"
"vipDetails_totalValidBet","Total Valid Bet","Total Valid Bet","Total Valid Bet","Total Valid Bet","Total Valid Bet","Total Valid Bet"
"vipDetails_totalDeposit","Total Deposit","Total Deposit","Total Deposit","Total Deposit","Total Deposit","Total Deposit"
"rebate_claim","Claim","Claim","Claim","Claim","Claim","Claim"
"rebate_detailsOfRebateRecord","Details of Rebate Record","Details of Rebate Record","Details of Rebate Record","Details of Rebate Record","Details of Rebate Record","Details of Rebate Record"
"messages_emptyRecord","There is no more~","There is no more~","There is no more~","There is no more~","There is no more~","There is no more~"
"user_inviteFriends","Invite Friends","Invite Friends","Invite Friends","Invite Friends","Invite Friends","Invite Friends"
"account","Account","Account","Account","Account","Account","Account"
"phone-or-username","Phone / Username","Phone / Username","Phone / Username","Phone / Username","Phone / Username","Phone / Username"
"accountValidFailText","please input","please input","please input","please input","please input","please input"
"phoneValidFailText","请输入正确的手机号","请输入正确的手机号","请输入正确的手机号","请输入正确的手机号","请输入正确的手机号","请输入正确的手机号"
"passwordPlaceholder","Password","Password","Password","Password","Password","Password"
"phonePlaceholder","Phone","Phone","Phone","Phone","Phone","Phone"
"codePlaceholder","Code","Code","Code","Code","Code","Code"
"codeValidFailText","请输入6位数字","请输入6位数字","请输入6位数字","请输入6位数字","请输入6位数字","请输入6位数字"
"passwordValidFailText","请输入6-20位数字+字母组合密码","请输入6-20位数字+字母组合密码","请输入6-20位数字+字母组合密码","请输入6-20位数字+字母组合密码","请输入6-20位数字+字母组合密码","请输入6-20位数字+字母组合密码"
"forgot","Forgot","Forgot","Forgot","Forgot","Forgot","Forgot"
"signInSignUp","Sign in/Sign Up","Sign in/Sign Up","Sign in/Sign Up","Sign in/Sign Up","Sign in/Sign Up","Sign in/Sign Up"
"signInSignUpCode","Sign in/Sign Up With Verification Code","Sign in/Sign Up With Verification Code","Sign in/Sign Up With Verification Code","Sign in/Sign Up With Verification Code","Sign in/Sign Up With Verification Code","Sign in/Sign Up With Verification Code"
"signInSignUpPassword","Sign in/Sign Up With Password","Sign in/Sign Up With Password","Sign in/Sign Up With Password","Sign in/Sign Up With Password","Sign in/Sign Up With Password","Sign in/Sign Up With Password"
"guest","Guest","Guest","Guest","Guest","Guest","Guest"
"cs","Cs","Cs","Cs","Cs","Cs","Cs"
"moreError","账户或者密码错误多次，已冻结账户，请联系客服","账户或者密码错误多次，已冻结账户，请联系客服","账户或者密码错误多次，已冻结账户，请联系客服","账户或者密码错误多次，已冻结账户，请联系客服","账户或者密码错误多次，已冻结账户，请联系客服","账户或者密码错误多次，已冻结账户，请联系客服"
"confirmPassword","Confirm Password","Confirm Password","Confirm Password","Confirm Password","Confirm Password","Confirm Password"
"next","Next","Next","Next","Next","Next","Next"
"signUp","Sign Up","Sign Up","Sign Up","Sign Up","Sign Up","Sign Up"
"signUpBonus","Sign up Bonus","Sign up Bonus","Sign up Bonus","Sign up Bonus","Sign up Bonus","Sign up Bonus"
"signUpGetCash","Sign up now to get ₱{bonus} cash","Sign up now to get ₱{bonus} cash","Sign up now to get ₱{bonus} cash","Sign up now to get ₱{bonus} cash","Sign up now to get ₱{bonus} cash","Sign up now to get ₱{bonus} cash"
"resetPassword","重置成功，请登录！","重置成功，请登录！","重置成功，请登录！","重置成功，请登录！","重置成功，请登录！","重置成功，请登录！"
"loss","Loss","Loss","Loss","Loss","Loss","Loss"
"win","Win","Win","Win","Win","Win","Win"
"official-sports-entertainment-gateway-of-the-pba","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA"
"licensed-by-pagcor","licensed by PAGCOR","licensed by PAGCOR","licensed by PAGCOR","licensed by PAGCOR","licensed by PAGCOR","licensed by PAGCOR"
"official-sports-entertainment-gateway-of-the-pba-0","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA","official sports entertainment gateway of the PBA"
"official-sports-book-partner-of-of-gilas-pilipinas","official sports book partner of of gilas pilipinas","official sports book partner of of gilas pilipinas","official sports book partner of of gilas pilipinas","official sports book partner of of gilas pilipinas","official sports book partner of of gilas pilipinas","official sports book partner of of gilas pilipinas"
